word,occurences
russojapanesewar,1
scream,10
lamb,23
gaelic,6
johnfkennedy,83
adolphinfish,1
tjhooker,3
yourshoes,1
anopera,6
mountains,7
alunchbox,1
amolly,3
touchedbyanangel,9
thanksgiving,26
ropea,1
macbeth,82
communistsympathizer,2
agoby,1
talksoup,3
thewesleys,1
gobragh,1
presbyterian,1
oldyeller,6
thecoelacanth,2
thetick,2
ayatollah,5
copra,2
andrew,14
jannwenner,2
tarpon,2
thatsincredible,1
rigveda,1
deepakchopra,7
thenewworld,2
kathleenturner,3
ireland,136
mci,3
ayam,2
allswellthatendswell,8
laurenbacall,7
thelbjlibrary,1
911,9
josephsmith,14
azebra,16
thetwogentlemenofverona,4
janerussell,3
yale,47
thewaroftheworlds,3
johndeere,16
ayak,9
shirleyjones,5
steinbeck,6
1900,6
theshermanantitrustact,4
xrays,14
amidsummernightsdream,50
jamieleecurtis,14
oxforduniversity,2
alexandergrahambell,44
horacegreeley,16
xavier,5
thetamingoftheshrew,30
philadelphia,109
thecanterburytales,25
alemon,5
paulsimon,27
athermometer,6
thevillageblacksmith,2
grenadine,5
waltercronkite,18
tinaturner,19
adialysismachine,2
oldironsides,5
thetagus,5
whitewine,5
theakita,3
westvirginia,40
syphilis,4
jameswhitcombriley,6
angola,19
sodawater,1
arthurfiedler,6
theosmonds,3
barneyclark,2
aleksandrpushkin,4
thethardesert,1
arobroy,2
lucymaudmontgomery,4
dionnewarwick,5
treason,8
greenland,47
baberuth,43
thesimpsons,37
cain,18
leisure,1
theamendments,1
theyukonterritory,5
tycobb,13
edwinhubble,8
wildbillhickok,16
noticeable,1
month,1
vancouver,30
reggiejackson,16
indiragandhi,35
exceed,1
santamonica,6
novascotia,25
rickeyhenderson,8
theokefenokee,3
bugsysiegel,12
categorizing,1
decameron,1
ontario,38
tedwilliams,14
ltgenjohnlejeune,1
philip,10
accommodations,1
thefbis10mostwantedlist,1
mendel,6
abassoon,1
blank,1
tseliot,34
sarahjessicaparker,14
astepfather,1
asteroids,12
theflea,1
smirk,2
warandpeace,32
tomhanks,21
dictionary,2
momentum,7
wood,17
hate,3
paradiselost,16
jenniferaniston,21
guillotine,10
asalt,1
clarinet,11
thejoker,7
williambutleryeats,25
jimcarrey,20
toxicology,3
rhizomes,1
jewsharp,3
aleer,1
jamesbaldwin,10
stevecarell,4
birthright,1
princeofwales,6
sahara,17
drlivingstone,9
tie,5
castle,7
february29foraleapyear,1
junket,2
tradewinds,4
dylanthomas,34
slip,5
van,2
december7,2
jamboree,1
rainyseason,1
marlonbrando,17
pants,11
wigwams,1
february14,3
jerusalem,70
stusutcliffe,2
coat,2
haciendas,1
may1,1
janeeyre,35
snowy,3
karlmarx,23
socksbelts,1
yurt,2
july1,2
justiniani,2
tennesseewilliams,44
king,21
annieoakley,30
sitcom,2
hochiminhcityformerlysaigon,1
judygarland,26
augustwilson,17
frankensteincreatedin1818,1
georgewashingtoncarver,32
southpaw,6
laos,19
judyjetson,3
jonathanlarson,3
stepdaughter,1
howardhughes,35
shoestringcatch,1
mekong,9
judydavis,1
peteranthonyshaffer,1
roberttaft,6
seattle,46
southchinasea,2
judyholliday,3
alexanderpushkin,7
poorlittlerichgirl,1
scaredstraight,1
danang,2
judywoodruff,1
jollyrancher,3
georgeiii,32
unionstation,2
allthepresidentsmen,9
thedenverbroncos,6
louisvilleslugger,3
mrsmithgoestowashington,7
newtgingrich,14
thelionhearted,1
aniceberg,4
primarycolors,9
bobdole,27
samhouston,14
thehooverdam,3
dave,3
rodneyking,7
stephendouglas,22
lordnelsonscolumn,1
theamericanpresident,4
theopeningofthechunnelthechanneltunnel,1
double,1
edwardkennedy,3
viacom,3
tutu,5
russia,141
godblessamerica,5
deepthroat,5
robertbyrd,10
sony,18
swanlake,19
kenya,32
therubberchickencircuit,2
johnmccain,29
timewarner,7
sleepingbeauty,31
thenile,39
billfrist,6
generalelectric,16
spartacus,15
thephilippines,73
patrickleahy,3
disney,21
margotfonteyn,9
scotland,101
thebureauofprintingandengraving,1
thechiefjusticeoftheunitedstates,2
taco,2
buck,8
volcaniceruptions,2
lurch,7
tripoli,13
tubesteak,1
breaddough,1
blackcats,2
batman,24
atlantic,8
turnip,3
whydoesthesnakecrawlontheground,1
benson,2
kalahari,5
tangelo,3
doremi,1
truthorconsequenceshotsprings,1
whydoesannakareninakillherself,1
thenanny,5
atlasmountains,5
tillamook,1
chickenfeed,2
ohcalcutta,3
whydoesswisscheesehaveholes,1
mrfrench,1
lizards,5
olivianewtonjohn,12
tudor,12
familiar,3
rhettbutler,6
telescope,8
hungary,70
lauraingallswilder,19
windsor,15
context,3
brettbutler,3
owl,14
ralphwaldoemerson,14
plantagenet,6
makingquotationswithyourfingers,1
protist,1
joycecaroloates,8
stuart,8
ontherecord,1
samuelbutler,6
chlorine,15
maryhigginsclark,12
hanover,5
pullquote,1
butleruniversity,1
twelfthnight,26
drmartinlutherkingjr,12
1970s,3
civilwar,24
tricolor,2
pollen,18
theredbaron,12
doncornelius,1
vietnamwar,9
karolwojtylapopejohnpaulii,1
milkweed,2
